,label,dim_0,dim_1,layer,fold,text,iteration
45,Moscow,-1.1435573101043701,0.0656585693359375,output,train,What 's russia 's capital,10
46,London,-1.697733759880066,-0.5758731365203857,average,train,What 's england 's capital,10
47,London,-0.2115379124879837,0.292336106300354,output,train,What 's england 's capital,10
48,Rouble,-2.831027030944824,5.178699493408203,average,dev,What currency is used in russia,10
49,Rouble,-0.0010103285312652588,0.707015872001648,output,dev,What currency is used in russia,10
50,Pound,0.0919538140296936,5.203928470611572,average,dev,What currency is used in england,10
51,Pound,0.025152377784252167,0.31102490425109863,output,dev,What currency is used in england,10
52,Moscow,-3.5584490299224854,0.8398850560188293,average,dev,What is the capital and largest city of russia,10
53,Moscow,-0.7331624031066895,-0.028812438249588013,output,dev,What is the capital and largest city of russia,10
54,London,-0.635468065738678,0.8651140332221985,average,dev,What is the capital and largest city of england,10
55,London,0.19885702431201935,0.19786515831947327,output,dev,What is the capital and largest city of england,10
56,Rouble,-3.3773000240325928,3.6892194747924805,average,dev,What 's the currency in russia,10
57,Rouble,-0.2686294913291931,0.6110213994979858,output,dev,What 's the currency in russia,10
58,Pound,-0.4543190598487854,3.7144484519958496,average,dev,What 's the currency in england,10
59,Pound,0.017818957567214966,0.27017349004745483,output,dev,What 's the currency in england,10
60,Moscow,-4.104722023010254,-0.6495949029922485,average,dev,What 's the capital of russia,10
61,Moscow,-0.8394713997840881,0.025537967681884766,output,dev,What 's the capital of russia,10
62,London,-1.1817407608032227,-0.6243659257888794,average,dev,What 's the capital of england,10
63,London,0.09661440551280975,0.27564066648483276,output,dev,What 's the capital of england,10
64,Rouble,-3.9054012298583984,4.759273052215576,average,train,What is this currency of russia,20
65,Rouble,-0.33549270033836365,0.554166316986084,output,train,What is this currency of russia,20
66,Pound,-0.9678506255149841,4.784994602203369,average,train,What is this currency of england,20
67,Pound,-0.19385793805122375,0.14502418041229248,output,train,What is this currency of england,20
68,Moscow,-3.8525643348693848,1.094191551208496,average,train,What is this capital of russia,20
69,Moscow,-0.89089035987854,0.1033400297164917,output,train,What is this capital of russia,20
70,London,-0.9150137305259705,1.119913101196289,average,train,What is this capital of england,20
71,London,0.30280470848083496,0.2797461748123169,output,train,What is this capital of england,20
72,Rouble,-4.6674041748046875,3.0502467155456543,average,train,What 's russia 's currency,20
73,Rouble,-1.0793579816818237,0.5899214148521423,output,train,What 's russia 's currency,20
74,Pound,-1.729853630065918,3.0759682655334473,average,train,What 's england 's currency,20
75,Pound,-0.5233418941497803,0.22073101997375488,output,train,What 's england 's currency,20
76,Moscow,-4.614567756652832,-0.6148346662521362,average,train,What 's russia 's capital,20
77,Moscow,-1.2559970617294312,0.4631603956222534,output,train,What 's russia 's capital,20
78,London,-1.6770168542861938,-0.5891131162643433,average,train,What 's england 's capital,20
79,London,0.04910507798194885,0.7348861694335938,output,train,What 's england 's capital,20
80,Rouble,-2.8210957050323486,5.162027359008789,average,dev,What currency is used in russia,20
81,Rouble,-0.49322399497032166,0.5437514781951904,output,dev,What currency is used in russia,20
82,Pound,0.11645498871803284,5.187748908996582,average,dev,What currency is used in england,20
83,Pound,-0.18353131413459778,0.1508122682571411,output,dev,What currency is used in england,20
84,Moscow,-3.5447707176208496,0.8233571648597717,average,dev,What is the capital and largest city of russia,20
85,Moscow,-0.9147380590438843,0.15520742535591125,output,dev,What is the capital and largest city of russia,20
86,London,-0.6072199940681458,0.8490787148475647,average,dev,What is the capital and largest city of england,20
87,London,0.39036399126052856,0.42693328857421875,output,dev,What is the capital and largest city of england,20
88,Rouble,-3.371134042739868,3.673945188522339,average,dev,What 's the currency in russia,20
89,Rouble,-0.7375345230102539,0.5285130143165588,output,dev,What 's the currency in russia,20
90,Pound,-0.43358343839645386,3.699666738510132,average,dev,What 's the currency in england,20
91,Pound,-0.18151846528053284,0.15932250022888184,output,dev,What 's the currency in england,20
92,Moscow,-4.094809055328369,-0.6647253036499023,average,dev,What 's the capital of russia,20
93,Moscow,-0.9278802871704102,0.3377561569213867,output,dev,What 's the capital of russia,20
94,London,-1.1572585105895996,-0.6390037536621094,average,dev,What 's the capital of england,20
95,London,0.3772216737270355,0.6094819903373718,output,dev,What 's the capital of england,20
96,Rouble,-3.886845111846924,4.738499164581299,average,train,What is this currency of russia,30
97,Rouble,-0.7231866717338562,0.4830673635005951,output,train,What is this currency of russia,30
98,Pound,-0.928439199924469,4.7625298500061035,average,train,What is this currency of england,30
99,Pound,-0.32264792919158936,0.03415384888648987,output,train,What is this currency of england,30
100,Moscow,-3.829228162765503,1.0701801776885986,average,train,What is this capital of russia,30
101,Moscow,-1.1555858850479126,0.23410359025001526,output,train,What is this capital of russia,30
102,London,-0.8708223700523376,1.0942111015319824,average,train,What is this capital of england,30
103,London,0.5309875011444092,0.49861571192741394,output,train,What is this capital of england,30
104,Rouble,-4.6652631759643555,3.0401484966278076,average,train,What 's russia 's currency,30
105,Rouble,-1.5281099081039429,0.6849228143692017,output,train,What 's russia 's currency,30
106,Pound,-1.7068569660186768,3.0641794204711914,average,train,What 's england 's currency,30
107,Pound,-0.7542243599891663,0.22793397307395935,output,train,What 's england 's currency,30
108,Moscow,-4.6076459884643555,-0.6281702518463135,average,train,What 's russia 's capital,30
109,Moscow,-1.2707120180130005,0.9812594652175903,output,train,What 's russia 's capital,30
110,London,-1.649240255355835,-0.6041393280029297,average,train,What 's england 's capital,30
111,London,0.41586095094680786,1.2457716464996338,output,train,What 's england 's capital,30
112,Rouble,-2.814718246459961,5.150046348571777,average,dev,What currency is used in russia,30
113,Rouble,-0.8654360771179199,0.49826011061668396,output,dev,What currency is used in russia,30
114,Pound,0.14368754625320435,5.174077033996582,average,dev,What currency is used in england,30
115,Pound,-0.3059733211994171,0.04590904712677002,output,dev,What currency is used in england,30
116,Moscow,-3.5275237560272217,0.803741991519928,average,dev,What is the capital and largest city of russia,30
117,Moscow,-0.9957687258720398,0.44579121470451355,output,dev,What is the capital and largest city of russia,30
118,London,-0.5691179633140564,0.8277729153633118,average,dev,What is the capital and largest city of england,30
119,London,0.6908045411109924,0.7103034257888794,output,dev,What is the capital and largest city of england,30
120,Rouble,-3.3699193000793457,3.6651034355163574,average,dev,What 's the currency in russia,30
121,Rouble,-1.117665410041809,0.551459550857544,output,dev,What 's the currency in russia,30
122,Pound,-0.4115135669708252,3.689134120941162,average,dev,What 's the currency in england,30
123,Pound,-0.3437800407409668,0.09447094798088074,output,dev,What 's the currency in england,30
124,Moscow,-4.082724571228027,-0.6812006235122681,average,dev,What 's the capital of russia,30
125,Moscow,-0.9290632605552673,0.7511166334152222,output,dev,What 's the capital of russia,30
126,London,-1.124319076538086,-0.6571696996688843,average,dev,What 's the capital of england,30
127,London,0.7575100064277649,1.015628695487976,output,dev,What 's the capital of england,30
128,Rouble,-3.879702568054199,4.713101863861084,average,train,What is this currency of russia,40
129,Rouble,-1.1858594417572021,0.5070071220397949,output,train,What is this currency of russia,40
130,Pound,-0.892479658126831,4.734604835510254,average,train,What is this currency of england,40
131,Pound,-0.4093209505081177,-0.04566946625709534,output,train,What is this currency of england,40
132,Moscow,-3.8108997344970703,1.0361801385879517,average,train,What is this capital of russia,40
133,Moscow,-1.361366868019104,0.5204017162322998,output,train,What is this capital of russia,40
134,London,-0.8236769437789917,1.0576831102371216,average,train,What is this capital of england,40
135,London,0.8064715266227722,0.7529278993606567,output,train,What is this capital of england,40
136,Rouble,-4.673250198364258,3.0340869426727295,average,train,What 's russia 's currency,40
137,Rouble,-2.089198112487793,0.8663543462753296,output,train,What 's russia 's currency,40
138,Pound,-1.6860271692276,3.0555899143218994,average,train,What 's england 's currency,40
139,Pound,-1.0398300886154175,0.2768731117248535,output,train,What 's england 's currency,40
140,Moscow,-4.604447364807129,-0.6428349018096924,average,train,What 's russia 's capital,40
141,Moscow,-1.327019214630127,1.5688914060592651,output,train,What 's russia 's capital,40
142,London,-1.6172244548797607,-0.6213319301605225,average,train,What 's england 's capital,40
143,London,0.8408192992210388,1.8014174699783325,output,train,What 's england 's capital,40
144,Rouble,-2.8182554244995117,5.137150764465332,average,dev,What currency is used in russia,40
145,Rouble,-1.3126968145370483,0.5393012166023254,output,dev,What currency is used in russia,40
146,Pound,0.16896742582321167,5.158653736114502,average,dev,What currency is used in england,40
147,Pound,-0.3874756097793579,-0.03343254327774048,output,dev,What currency is used in england,40
148,Moscow,-3.5145351886749268,0.775992751121521,average,dev,What is the capital and largest city of russia,40
149,Moscow,-1.1187947988510132,0.7946426868438721,output,dev,What is the capital and largest city of russia,40
150,London,-0.5273122787475586,0.7974957227706909,average,dev,What is the capital and largest city of england,40
151,London,1.0490436553955078,1.0271689891815186,output,dev,What is the capital and largest city of england,40
152,Rouble,-3.3783516883850098,3.658750534057617,average,dev,What 's the currency in russia,40
153,Rouble,-1.5843673944473267,0.6532584428787231,output,dev,What 's the currency in russia,40
154,Pound,-0.39112865924835205,3.680253505706787,average,dev,What 's the currency in england,40
155,Pound,-0.534999430179596,0.06377726793289185,output,dev,What 's the currency in england,40
156,Moscow,-4.074631214141846,-0.7024074792861938,average,dev,What 's the capital of russia,40
157,Moscow,-0.9596182703971863,1.2252463102340698,output,dev,What 's the capital of russia,40
158,London,-1.087408423423767,-0.6809045076370239,average,dev,What 's the capital of england,40
159,London,1.2080888748168945,1.457309365272522,output,dev,What 's the capital of england,40
160,Rouble,-3.881913185119629,4.68526554107666,average,train,What is this currency of russia,50
161,Rouble,-1.7248079776763916,0.6046221256256104,output,train,What is this currency of russia,50
162,Pound,-0.8574072122573853,4.7022504806518555,average,train,What is this currency of england,50
163,Pound,-0.4746604561805725,-0.1214187890291214,output,train,What is this currency of england,50
164,Moscow,-3.797071695327759,0.9946585297584534,average,train,What is this capital of russia,50
165,Moscow,-1.5619460344314575,0.8836438059806824,output,train,What is this capital of russia,50
166,London,-0.7725658416748047,1.011643409729004,average,train,What is this capital of england,50
167,London,1.1812950372695923,1.0512077808380127,output,train,What is this capital of england,50
168,Rouble,-4.687743186950684,3.0336556434631348,average,train,What 's russia 's currency,50
169,Rouble,-2.7621707916259766,1.108515739440918,output,train,What 's russia 's currency,50
170,Pound,-1.6632373332977295,3.05064058303833,average,train,What 's england 's currency,50
171,Pound,-1.3713009357452393,0.3500801920890808,output,train,What 's england 's currency,50
172,Moscow,-4.602901935577393,-0.6569516658782959,average,train,What 's russia 's capital,50
173,Moscow,-1.3749302625656128,2.225897789001465,output,train,What 's russia 's capital,50
174,London,-1.578395962715149,-0.6399667263031006,average,train,What 's england 's capital,50
175,London,1.3683106899261475,2.3934614658355713,output,train,What 's england 's capital,50
176,Rouble,-2.829878807067871,5.124896049499512,average,dev,What currency is used in russia,50
177,Rouble,-1.8349918127059937,0.6451540589332581,output,dev,What currency is used in russia,50
178,Pound,0.19462713599205017,5.141880989074707,average,dev,What currency is used in england,50
179,Pound,-0.44622546434402466,-0.11279726028442383,output,dev,What currency is used in england,50
180,Moscow,-3.50541353225708,0.7422619462013245,average,dev,What is the capital and largest city of russia,50
181,Moscow,-1.2299737930297852,1.2138729095458984,output,dev,What is the capital and largest city of russia,50
182,London,-0.480907678604126,0.7592468857765198,average,dev,What is the capital and largest city of england,50
183,London,1.513267159461975,1.381436824798584,output,dev,What is the capital and largest city of england,50
184,Rouble,-3.3937630653381348,3.6563029289245605,average,dev,What 's the currency in russia,50
185,Rouble,-2.1377358436584473,0.8117522597312927,output,dev,What 's the currency in russia,50
186,Pound,-0.3692570924758911,3.673287868499756,average,dev,What 's the currency in england,50
187,Pound,-0.7468658089637756,0.0533166229724884,output,dev,What 's the currency in england,50
188,Moscow,-4.069297790527344,-0.726331353187561,average,dev,What 's the capital of russia,50
189,Moscow,-0.9737793207168579,1.7631888389587402,output,dev,What 's the capital of russia,50
190,London,-1.0447919368743896,-0.7093464136123657,average,dev,What 's the capital of england,50
191,London,1.767228603363037,1.9229354858398438,output,dev,What 's the capital of england,50
192,Rouble,-3.8935506343841553,4.662357330322266,average,train,What is this currency of russia,60
193,Rouble,-2.312805414199829,0.7548503875732422,output,train,What is this currency of russia,60
194,Pound,-0.8231735825538635,4.672004699707031,average,train,What is this currency of england,60
195,Pound,-0.5346258878707886,-0.195518359541893,output,train,What is this currency of england,60
196,Moscow,-3.7891077995300293,0.9529118537902832,average,train,What is this capital of russia,60
197,Moscow,-1.802066445350647,1.2603979110717773,output,train,What is this capital of russia,60
198,London,-0.7187307476997375,0.9625588655471802,average,train,What is this capital of england,60
199,London,1.6474621295928955,1.3600735664367676,output,train,What is this capital of england,60
200,Rouble,-4.707709312438965,3.0429093837738037,average,train,What 's russia 's currency,60
201,Rouble,-3.5199837684631348,1.3900325298309326,output,train,What 's russia 's currency,60
202,Pound,-1.6373323202133179,3.0525565147399902,average,train,What 's england 's currency,60
203,Pound,-1.7206143140792847,0.43327954411506653,output,train,What 's england 's currency,60
204,Moscow,-4.60326623916626,-0.6665362119674683,average,train,What 's russia 's capital,60
205,Moscow,-1.4743808507919312,2.8781962394714355,output,train,What 's russia 's capital,60
206,London,-1.532889485359192,-0.6568890810012817,average,train,What 's england 's capital,60
207,London,1.9751468896865845,2.977871894836426,output,train,What 's england 's capital,60
208,Rouble,-2.8492894172668457,5.118011474609375,average,dev,What currency is used in russia,60
209,Rouble,-2.4031505584716797,0.7957160472869873,output,dev,What currency is used in russia,60
210,Pound,0.2210875153541565,5.127658843994141,average,dev,What currency is used in england,60
211,Pound,-0.6037813425064087,-0.161036878824234,output,dev,What currency is used in england,60
212,Moscow,-3.501336097717285,0.7085270881652832,average,dev,What is the capital and largest city of russia,60
213,Moscow,-1.374786138534546,1.6412081718444824,output,dev,What is the capital and largest city of russia,60
214,London,-0.43095916509628296,0.7181740999221802,average,dev,What is the capital and largest city of england,60
215,London,2.074741840362549,1.7408838272094727,output,dev,What is the capital and largest city of england,60
216,Rouble,-3.4153947830200195,3.6614933013916016,average,dev,What 's the currency in russia,60
217,Rouble,-2.752246141433716,1.0082470178604126,output,dev,What 's the currency in russia,60
218,Pound,-0.3450177311897278,3.671140432357788,average,dev,What 's the currency in england,60
219,Pound,-0.9528769850730896,0.05149403214454651,output,dev,What 's the currency in england,60
220,Moscow,-4.067441463470459,-0.7479909658432007,average,dev,What 's the capital of russia,60
221,Moscow,-1.0194398164749146,2.3047218322753906,output,dev,What 's the capital of russia,60
222,London,-0.9970644116401672,-0.7383439540863037,average,dev,What 's the capital of england,60
223,London,2.426129102706909,2.3905582427978516,output,dev,What 's the capital of england,60
224,Rouble,-3.902895927429199,4.647153854370117,average,train,What is this currency of russia,70
225,Rouble,-2.8857786655426025,0.918729841709137,output,train,What is this currency of russia,70
226,Pound,-0.7753869295120239,4.647974967956543,average,train,What is this currency of england,70
227,Pound,-0.5943238735198975,-0.2700249254703522,output,train,What is this currency of england,70
228,Moscow,-3.7786879539489746,0.9137507081031799,average,train,What is this capital of russia,70
229,Moscow,-2.0702993869781494,1.640286922454834,output,train,What is this capital of russia,70
230,London,-0.6511790752410889,0.9145722985267639,average,train,What is this capital of england,70
231,London,2.241758108139038,1.6699855327606201,output,train,What is this capital of england,70
232,Rouble,-4.728701591491699,3.0644702911376953,average,train,What 's russia 's currency,70
233,Rouble,-4.325231075286865,1.690197467803955,output,train,What 's russia 's currency,70
234,Pound,-1.6011924743652344,3.0652918815612793,average,train,What 's england 's currency,70
235,Pound,-2.033776044845581,0.5014429688453674,output,train,What 's england 's currency,70
236,Moscow,-4.604493618011475,-0.6689327955245972,average,train,What 's russia 's capital,70
237,Moscow,-1.6648614406585693,3.5242505073547363,output,train,What 's russia 's capital,70
238,London,-1.4769845008850098,-0.6681112051010132,average,train,What 's england 's capital,70
239,London,2.6471972465515137,3.5539498329162598,output,train,What 's england 's capital,70
240,Rouble,-2.8693814277648926,5.118185520172119,average,dev,What currency is used in russia,70
241,Rouble,-2.9522247314453125,0.9548729062080383,output,dev,What currency is used in russia,70
242,Pound,0.25812751054763794,5.119007110595703,average,dev,What currency is used in england,70
243,Pound,-0.6607698798179626,-0.2338818907737732,output,dev,What currency is used in england,70
244,Moscow,-3.4962897300720215,0.6770549416542053,average,dev,What is the capital and largest city of russia,70
245,Moscow,-1.552276611328125,2.0688607692718506,output,dev,What is the capital and largest city of russia,70
246,London,-0.36878085136413574,0.6778765320777893,average,dev,What is the capital and largest city of england,70
247,London,2.7597813606262207,2.098559617996216,output,dev,What is the capital and largest city of england,70
248,Rouble,-3.4386234283447266,3.6762051582336426,average,dev,What 's the currency in russia,70
249,Rouble,-3.381199598312378,1.2174301147460938,output,dev,What 's the currency in russia,70
250,Pound,-0.31111443042755127,3.6770267486572266,average,dev,What 's the currency in england,70
251,Pound,-1.0897448062896729,0.02867528796195984,output,dev,What 's the currency in england,70
252,Moscow,-4.0655317306518555,-0.764925479888916,average,dev,What 's the capital of russia,70
253,Moscow,-1.1231322288513184,2.848876953125,output,dev,What 's the capital of russia,70
254,London,-0.9380226135253906,-0.764103889465332,average,dev,What 's the capital of england,70
255,London,3.184209108352661,2.862088680267334,output,dev,What 's the capital of england,70
256,Rouble,-3.921560049057007,4.632260322570801,average,train,What is this currency of russia,80
257,Rouble,-3.569157361984253,1.1549739837646484,output,train,What is this currency of russia,80
258,Pound,-0.7289112210273743,4.623991012573242,average,train,What is this currency of england,80
259,Pound,-0.678270697593689,-0.3238752484321594,output,train,What is this currency of england,80
260,Moscow,-3.776646375656128,0.8720752000808716,average,train,What is this capital of russia,80
261,Moscow,-2.4352164268493652,2.073108673095703,output,train,What is this capital of russia,80
262,London,-0.5839975476264954,0.8638061285018921,average,train,What is this capital of england,80
263,London,2.916412591934204,2.0063719749450684,output,train,What is this capital of england,80
264,Rouble,-4.750044822692871,3.091155529022217,average,train,What 's russia 's currency,80
265,Rouble,-5.2693586349487305,2.0710816383361816,output,train,What 's russia 's currency,80
266,Pound,-1.5573959350585938,3.082886219024658,average,train,What 's england 's currency,80
267,Pound,-2.3784711360931396,0.5922321677207947,output,train,What 's england 's currency,80
268,Moscow,-4.605131149291992,-0.6690292358398438,average,train,What 's russia 's capital,80
269,Moscow,-1.9906662702560425,4.219995498657227,output,train,What 's russia 's capital,80
270,London,-1.4124822616577148,-0.6772983074188232,average,train,What 's england 's capital,80
271,London,3.3609631061553955,4.153258800506592,output,train,What 's england 's capital,80
272,Rouble,-2.8959221839904785,5.119790077209473,average,dev,What currency is used in russia,80
273,Rouble,-3.6030101776123047,1.1803812980651855,output,dev,What currency is used in russia,80
274,Pound,0.2967267632484436,5.111520767211914,average,dev,What currency is used in england,80
275,Pound,-0.7121232151985168,-0.2984681725502014,output,dev,What currency is used in england,80
276,Moscow,-3.4981863498687744,0.6436284780502319,average,dev,What is the capital and largest city of russia,80
277,Moscow,-1.8252516984939575,2.5461678504943848,output,dev,What is the capital and largest city of russia,80
278,London,-0.30553752183914185,0.6353594064712524,average,dev,What is the capital and largest city of england,80
279,London,3.5263772010803223,2.479430913925171,output,dev,What is the capital and largest city of england,80
280,Rouble,-3.4645345211029053,3.694474458694458,average,dev,What 's the currency in russia,80
281,Rouble,-4.121931076049805,1.494551420211792,output,dev,What 's the currency in russia,80
282,Pound,-0.27188563346862793,3.6862053871154785,average,dev,What 's the currency in england,80
283,Pound,-1.2310444116592407,0.015702009201049805,output,dev,What 's the currency in england,80
284,Moscow,-4.066798686981201,-0.7816869020462036,average,dev,What 's the capital of russia,80
285,Moscow,-1.3290170431137085,3.442892074584961,output,dev,What 's the capital of russia,80
286,London,-0.8741498589515686,-0.7899559736251831,average,dev,What 's the capital of england,80
287,London,4.016929626464844,3.3562963008880615,output,dev,What 's the capital of england,80
288,Rouble,-3.9455533027648926,4.618218898773193,average,train,What is this currency of russia,90
289,Rouble,-4.334056854248047,1.4458799362182617,output,train,What is this currency of russia,90
290,Pound,-0.6797828078269958,4.601032257080078,average,train,What is this currency of england,90
291,Pound,-0.7353625297546387,-0.3818763792514801,output,train,What is this currency of england,90
292,Moscow,-3.7807998657226562,0.8290752172470093,average,train,What is this capital of russia,90
293,Moscow,-2.8560383319854736,2.564204216003418,output,train,What is this capital of russia,90
294,London,-0.5150293707847595,0.8118884563446045,average,train,What is this capital of england,90
295,London,3.699742555618286,2.364147663116455,output,train,What is this capital of england,90
296,Rouble,-4.765375137329102,3.121870517730713,average,train,What 's russia 's currency,90
297,Rouble,-6.3125410079956055,2.512226104736328,output,train,What 's russia 's currency,90
298,Pound,-1.49960458278656,3.1046838760375977,average,train,What 's england 's currency,90
299,Pound,-2.713846445083618,0.6844697594642639,output,train,What 's england 's currency,90
300,Moscow,-4.600621700286865,-0.6672732830047607,average,train,What 's russia 's capital,90
301,Moscow,-2.397796869277954,4.971822738647461,output,train,What 's russia 's capital,90
302,London,-1.3348511457443237,-0.684459924697876,average,train,What 's england 's capital,90
303,London,4.157985210418701,4.771766185760498,output,train,What 's england 's capital,90
304,Rouble,-2.925502061843872,5.122782230377197,average,dev,What currency is used in russia,90
305,Rouble,-4.323636531829834,1.4535973072052002,output,dev,What currency is used in russia,90
306,Pound,0.34026864171028137,5.105595588684082,average,dev,What currency is used in england,90
307,Pound,-0.724942147731781,-0.37415894865989685,output,dev,What currency is used in england,90
308,Moscow,-3.5051331520080566,0.6091450452804565,average,dev,What is the capital and largest city of russia,90
309,Moscow,-2.154897689819336,3.0781495571136475,output,dev,What is the capital and largest city of russia,90
310,London,-0.23936259746551514,0.5919582843780518,average,dev,What is the capital and largest city of england,90
311,London,4.40088415145874,2.8780927658081055,output,dev,What is the capital and largest city of england,90
312,Rouble,-3.4883861541748047,3.7155866622924805,average,dev,What 's the currency in russia,90
313,Rouble,-4.940798282623291,1.8214445114135742,output,dev,What 's the currency in russia,90
314,Pound,-0.22261565923690796,3.698399782180786,average,dev,What 's the currency in england,90
315,Pound,-1.3421040773391724,-0.006311655044555664,output,dev,What 's the currency in england,90
316,Moscow,-4.068017482757568,-0.7980505228042603,average,dev,What 's the capital of russia,90
317,Moscow,-1.5981414318084717,4.092168807983398,output,dev,What 's the capital of russia,90
318,London,-0.8022468686103821,-0.815237283706665,average,dev,What 's the capital of england,90
319,London,4.951021194458008,3.868976354598999,output,dev,What 's the capital of england,90
320,Rouble,-3.980867624282837,4.6033525466918945,average,train,What is this currency of russia,100
321,Rouble,-5.225085258483887,1.811394453048706,output,train,What is this currency of russia,100
322,Pound,-0.6365242004394531,4.577703475952148,average,train,What is this currency of england,100
323,Pound,-0.8070021271705627,-0.42761701345443726,output,train,What is this currency of england,100
324,Moscow,-3.7970237731933594,0.7842803597450256,average,train,What is this capital of russia,100
325,Moscow,-3.356189012527466,3.1234617233276367,output,train,What is this capital of russia,100
326,London,-0.4526803493499756,0.7586312890052795,average,train,What is this capital of england,100
327,London,4.557882308959961,2.7432291507720947,output,train,What is this capital of england,100
328,Rouble,-4.773339748382568,3.1542789936065674,average,train,What 's russia 's currency,100
329,Rouble,-7.466800212860107,3.0205650329589844,output,train,What 's russia 's currency,100
330,Pound,-1.4289964437484741,3.1286299228668213,average,train,What 's england 's currency,100
331,Pound,-3.0487172603607178,0.7815535068511963,output,train,What 's england 's currency,100
332,Moscow,-4.589495658874512,-0.6647932529449463,average,train,What 's russia 's capital,100
333,Moscow,-2.872335195541382,5.781787872314453,output,train,What 's russia 's capital,100
334,London,-1.2451525926589966,-0.6904423236846924,average,train,What 's england 's capital,100
335,London,5.041736125946045,5.401554584503174,output,train,What 's england 's capital,100
336,Rouble,-2.9607675075531006,5.125669479370117,average,dev,What currency is used in russia,100
337,Rouble,-5.152952194213867,1.7915542125701904,output,dev,What currency is used in russia,100
338,Pound,0.38357582688331604,5.100020408630371,average,dev,What currency is used in england,100
339,Pound,-0.7348689436912537,-0.44745713472366333,output,dev,What currency is used in england,100
340,Moscow,-3.5213327407836914,0.5732269883155823,average,dev,What is the capital and largest city of russia,100
341,Moscow,-2.5598037242889404,3.672839641571045,output,dev,What is the capital and largest city of russia,100
342,London,-0.17698931694030762,0.5475779175758362,average,dev,What is the capital and largest city of england,100
343,London,5.3542680740356445,3.2926065921783447,output,dev,What is the capital and largest city of england,100
344,Rouble,-3.5099892616271973,3.737672805786133,average,dev,What 's the currency in russia,100
